ACCOUNTNUM,PERIOD,AMOUNTRECEIVED,CHECKOFFBATCHNO,CHECKOFFPERIOD,AMOUNT
EMP1002402,Oct-19,16515,CHOF-185677,Oct-19,16515
EMP131803,Oct-19,16125.2,CHOF-185171,Oct-19,16125.2
EMP131803,Oct-19,16125.2,CHOF-185172,Oct-19,16125.2
EMP152857,Nov-19,16000,CHOF-188695,Nov-19,16000
EMP40718,Nov-19,15540,CHOF-187751,Nov-19,0
EMP27174,Oct-19,15047,CHOF-186195,Oct-19,11011
EMP42014,Sep-19,14940.9,CHOF-187459,Sep-19,14940.9
EMP1005887,Aug-19,14884,CHOF-183761,Aug-19,14884
EMP120600,Dec-19,14203,CHOF-191944,Dec-19,14203
EMP120600,Oct-19,14203,CHOF-184487,Oct-19,14203
EMP18876,Dec-19,14180,CHOF-193060,Dec-19,14180
EMP64418,Dec-16,13943.3,CHOF-032297,Jan-17,23598.6
EMP142133,Nov-19,13762,CHOF-187714,Nov-19,13762
EMP142133,Nov-19,13762,CHOF-187715,Nov-19,13762
EMP12459,Dec-19,13599,CHOF-192383,Dec-19,13599
EMP18328,Oct-19,13569,CHOF-184962,Oct-19,13567
EMP113119,Dec-19,13500,CHOF-193484,Dec-19,13500
EMP1008046,Dec-19,13217,CHOF-189816,Dec-19,13217
EMP141702,Dec-19,13180,CHOF-191641,Dec-19,13179.75
EMP141702,Dec-19,13180,CHOF-191642,Dec-19,13179.75
EMP133360,Dec-19,13110,CHOF-193486,Dec-19,13110
EMP1003921,Dec-19,13000,CHOF-191953,Dec-19,13000
EMP11228,Nov-19,12775,CHOF-188685,Nov-19,12775
EMP152661,Dec-19,12753,CHOF-192444,Dec-19,25506
EMP1003818,Oct-19,12630,CHOF-186003,Oct-19,12630
EMP99813,Oct-19,12587,CHOF-186002,Oct-19,12587
emp1006115,Aug-19,12471,CHOF-184485,Aug-19,12471
EMP75627,Nov-19,12182,CHOF-188693,Nov-19,12182
EMP99813,Dec-19,11878,CHOF-193496,Dec-19,11878.04
EMP133546,Dec-19,11715,CHOF-191949,Dec-19,11715
EMP60125,Nov-16,11245,CHOF-019676,Nov-16,6089
EMP1006766,Oct-19,11037,CHOF-186424,Oct-19,11037
EMP10366,Oct-19,10765,CHOF-184973,Oct-19,10765
EMP22798,Dec-19,10743,CHOF-193492,Dec-19,10743
EMP65712,Dec-19,10656,CHOF-191952,Dec-19,10656
EMP11926,Dec-19,10364,CHOF-194332,Dec-19,4041224.85
EMP1003903,Dec-19,10072,CHOF-191950,Dec-19,10072
EMP126133,Dec-19,9832,CHOF-191532,Dec-19,9832
EMP26264,Dec-19,9500,CHOF-192548,Dec-19,4169
EMP87552,Oct-19,9278.6,CHOF-185804,Oct-19,9278.6
